time;raw;attention;meditation;delta;theta;low-alpha;high-alpha;low-beta;high-beta;low-gamma;mid-gamma
1,69933E+12;2047;0;0;9701;48006;5905;2068;11588;5817;2490;2428
1,69933E+12;-1218;0;0;1619799;303077;25035;24812;69144;302113;165054;132849
1,69933E+12;2047;0;0;1206366;113230;42160;245609;86597;1688252;956031;301410
1,69933E+12;-2048;0;0;991412;30932;59919;16471;32305;51999;31664;20429
1,69933E+12;-1511;0;0;226527;267211;24297;11507;36182;22160;14006;22721
1,69933E+12;2047;0;0;317402;361949;91864;15868;40135;39287;16111;13868
1,69933E+12;2047;0;0;564067;105107;5390;44062;43955;94008;253050;53261
1,69933E+12;2047;0;0;661895;36469;2154;3427;16024;157118;48032;40611
1,69933E+12;-2048;0;0;1085611;163492;136902;59122;44153;508090;442493;83896
1,69933E+12;-2048;0;0;130185;328847;25272;26718;31940;34104;9120;9260
1,69933E+12;-2048;0;0;12861;33448;4719;8894;6709;4511;4924;2768
1,69933E+12;-2048;0;0;729195;241488;36601;83206;36686;169996;342908;150059
1,69933E+12;-2048;0;0;596522;47393;39021;22932;32675;59570;33712;21949
1,69933E+12;-985;0;0;537144;50464;38163;19604;27492;23952;9522;23404
1,69933E+12;-2045;0;0;110169;420055;21566;19747;35855;22215;9985;13659
1,69933E+12;-2048;0;0;174292;43367;7683;11976;12186;40848;44395;14824
1,69933E+12;-2048;0;0;1605953;815736;272844;198972;145213;652495;1516091;363948
1,69933E+12;-1033;0;0;2168766;140136;270046;221618;107383;84646;211530;68720
1,69933E+12;-2048;0;0;428405;79674;52876;18807;21556;18723;7672;5891
1,69933E+12;-2048;0;0;47025;68016;4328;6372;5295;7143;2963;4123
1,69933E+12;-2048;0;0;2731232;50203;260861;82378;108946;352491;139879;86471
1,69933E+12;-1903;0;0;1968308;156695;25073;58340;100114;247981;105695;115045
1,69933E+12;-1428;0;0;613142;204693;63809;5374;32283;22834;9084;12344
1,69933E+12;2047;0;0;81195;25322;4180;12417;5508;6669;5834;4054
1,69933E+12;2047;0;0;142327;75548;26899;18075;27960;36816;21138;20941
1,69933E+12;-2048;0;0;1521056;223898;91260;69285;14559;355358;213077;60945
1,69933E+12;-2048;0;0;483190;7533;41495;32671;27714;51852;33256;19777
1,69933E+12;-1547;0;0;323894;155626;61391;13860;35582;13997;8537;11020
1,69933E+12;-2048;0;0;85489;28001;3612;10323;7865;9405;7121;4395
1,69933E+12;-2030;0;0;2683586;99094;351437;55641;135107;316376;184232;83037
1,69933E+12;-1821;0;0;1559286;53312;111412;183422;67115;325002;97327;65624
1,69933E+12;2047;0;0;675655;105249;54522;13689;26535;28215;22069;10995
1,69933E+12;2047;0;0;22313;77089;1609;1566;16318;6326;2460;3960
1,69933E+12;-2048;0;0;254729;19206;17750;17233;10147;61866;33997;20479
1,69933E+12;-2048;0;0;657988;130009;43626;34907;58944;26620;21620;20246
1,69933E+12;-1227;0;0;1411068;18286;25918;18693;42499;42886;15777;34486
1,69933E+12;-1890;0;0;15806;29533;5346;5114;20144;1912;1787;15377
1,69933E+12;2047;0;0;28943;14592;16149;3194;4145;5353;2416;3717
1,69933E+12;2047;0;0;337983;112262;23789;32552;51998;360095;191060;146382
1,69933E+12;1134;0;0;34790;652552;37427;30319;17521;452374;229665;263656
1,69933E+12;-2048;0;0;179423;530684;72774;197424;82238;545734;209820;124411
1,69933E+12;-2048;0;0;36758;62510;7859;887;19106;7064;3728;3335
1,69933E+12;-2048;0;0;73051;16544;5150;2613;19430;13416;3061;1956
1,69933E+12;891;0;0;84755;30869;45227;16956;18484;38279;23426;24970
1,69933E+12;-2048;0;0;660968;31902;11452;13667;12399;172101;41958;29262
1,69933E+12;874;0;0;724500;113304;59765;32454;21826;40903;17777;24474
1,69933E+12;2047;0;0;7130;131742;5117;1033;14514;8230;1284;3449
1,69933E+12;-163;0;0;33796;159317;18629;4576;8142;8114;4538;4169
1,69933E+12;-2048;0;0;1885314;79692;112308;69419;118311;154781;268239;128461
1,69933E+12;-2048;0;0;1161772;34914;33190;25391;50262;41740;22504;29083
1,69933E+12;-2044;0;0;1973950;87290;335475;95920;37740;176709;70290;52345
1,69933E+12;2047;0;0;14214;42687;5593;2622;9391;3828;2863;2353
1,69933E+12;2047;0;0;2375732;166871;57004;85874;44748;412522;170282;89283
1,69933E+12;-1800;0;0;596700;41724;15713;24574;56437;83125;433216;53772
1,69933E+12;-817;0;0;1687690;150969;44492;11344;50235;54573;40334;89541
1,69933E+12;-994;0;0;397871;144498;106254;158631;47101;92603;80640;229372
1,69933E+12;-971;0;0;2629771;59353;79635;164277;124516;63108;41449;97760
1,69933E+12;-359;0;0;218235;47155;21445;43157;11242;15190;6955;6046
1,69933E+12;-2048;0;0;2021988;168774;74463;72671;76297;99021;60156;60417
1,69933E+12;1623;0;0;147608;3725;830;8654;1901;3913;2388;2772
1,69933E+12;1792;0;0;55484;17205;1277;5204;2696;6042;8100;2301
1,69933E+12;2047;0;0;26006;6668;2651;3671;3754;1102;1211;1033
1,69933E+12;2047;0;0;487670;147567;32095;89358;30577;225333;131916;91995
1,69933E+12;2047;0;0;64530;364062;55084;343494;106267;281241;165044;192075
1,69933E+12;2047;0;0;522960;24781;18390;6708;9922;35260;18113;5467
1,69933E+12;-2048;0;0;62989;124691;20064;4128;12674;87602;41261;24063
1,69933E+12;-2048;0;0;12455;17468;5975;1532;2481;9968;7302;4462
1,69933E+12;1527;0;0;463976;192304;25467;180470;49468;159939;209092;75429
1,69933E+12;564;0;0;1543523;59972;186313;50365;61748;231818;62902;48276
1,69933E+12;2047;0;0;1643006;116755;51035;66407;46462;75323;130038;130178
1,69933E+12;2047;0;0;179270;263839;8019;106282;55702;270921;301307;57614
1,69933E+12;1096;0;0;146082;117880;30849;7307;13981;107399;37406;16430
1,69933E+12;-2048;0;0;83596;502457;38934;73545;100217;191516;202703;61010
1,69933E+12;1654;0;0;13858;217356;7466;12528;21924;289184;36593;14212
1,69933E+12;-2048;0;0;863582;341034;23468;81884;42848;446545;230248;42055
1,69933E+12;-2048;0;0;160707;127604;30818;18961;22271;71455;35188;11470
1,69933E+12;-2048;0;0;503226;257627;21766;58807;36486;97172;212335;32782
1,69933E+12;-413;0;0;24028;154442;27824;25939;23284;145031;57364;24452
1,69933E+12;2047;0;0;124644;111428;22441;31316;20035;50179;52823;15531
1,69933E+12;-2048;0;0;142776;203447;10037;8943;15690;242279;28052;14819
1,69933E+12;-2048;0;0;40545;597156;19686;91143;60039;214252;179285;81988
1,69933E+12;-2048;0;0;252316;490912;4741;75507;29904;63861;270391;27578
1,69933E+12;776;0;0;53119;53471;30516;12379;20147;348078;31288;31551
1,69933E+12;-2048;0;0;692907;184947;15451;39314;15257;243788;129499;73292
1,69933E+12;2047;0;0;31162;98963;5110;24848;21173;37849;31231;19819
1,69933E+12;2047;0;0;359618;619669;35039;91723;101993;283340;155196;59139
1,69933E+12;-2048;0;0;39495;51890;30840;13514;11000;305497;33232;28995
1,69933E+12;2047;0;0;486360;155650;19661;233934;85267;79562;195196;40330
1,69933E+12;-1766;0;0;49991;126486;8200;12146;21101;229595;17450;16785
1,69933E+12;-34;0;0;33984;45129;1332;1427;3734;10359;2395;2154
1,69933E+12;1361;0;0;747447;346180;86124;178437;49494;90813;109814;106294
1,69933E+12;1379;0;0;278611;305596;267221;64903;85454;85960;65207;114688
1,69933E+12;792;0;0;304984;291504;120515;153498;57221;58003;70980;75056
1,69933E+12;-1195;0;0;133899;1792;317;1894;5863;5007;2719;2659
1,69933E+12;-504;0;0;37189;3793;1425;283;7901;3328;2071;1755
1,69933E+12;283;0;0;960248;73477;4803;7579;3997;10939;11506;765
1,69933E+12;10;0;0;609818;7107;1140;9598;2725;11135;1624;565
1,69933E+12;51;0;0;413434;12986;5075;6885;10773;28234;1435;443
1,69933E+12;-401;0;0;511265;27854;2054;4529;10226;31581;1779;674
1,69933E+12;-68;0;0;540992;30563;3899;2514;3525;28381;648;500
1,69933E+12;-14;0;0;815952;39135;1333;2926;3474;24202;823;713
1,69933E+12;-1903;0;0;364880;382419;81649;96463;33072;106201;38679;73361
1,69933E+12;1299;0;0;627184;32857;9936;4041;17153;17463;7582;14320
1,69935E+12;-2048;0;0;1893759;275509;70221;239305;119499;282202;94468;48693
1,69935E+12;-2048;0;0;68476;558267;25203;15099;55741;32147;8071;20315
1,69935E+12;-2048;0;0;773547;129326;35904;21711;30035;477064;426252;66710
1,69935E+12;-2048;0;0;535634;129751;10673;51095;58140;606774;608376;113040
1,69935E+12;-1595;0;0;233521;74628;53853;61326;15114;24010;24729;15956
1,69935E+12;-1453;0;0;24542;67943;8989;2686;15671;6833;1796;5104
1,69935E+12;2047;0;0;287033;23982;10918;11860;14743;43605;35907;14470
1,69935E+12;1307;0;0;477872;252560;50210;75159;83860;207922;465869;109484
1,69935E+12;2047;0;0;537266;33268;65141;47450;27350;30788;45878;18018
1,69935E+12;2047;0;0;280835;235877;65830;29488;39265;15296;11465;12329
1,69935E+12;-2048;0;0;256290;17727;4266;6323;22874;104748;42738;25290
1,69935E+12;-2048;0;0;447887;102054;16622;30263;28829;293866;651813;60215
1,69935E+12;-2048;0;0;1059923;77947;31157;15661;56270;273753;341644;129684
1,69935E+12;2047;0;0;683743;1233301;21602;145904;62971;200009;72594;30931
1,69935E+12;-2048;0;0;13842;24490;2617;5965;10937;4604;3836;5872
1,69935E+12;-2048;0;0;324533;187061;34294;35483;48539;323276;211824;77966
1,69935E+12;2047;0;0;1463822;796292;112762;460528;79089;857662;1106289;208659
1,69935E+12;-2048;0;0;1937269;233276;16781;265810;83695;181846;71207;72647
1,69935E+12;-2048;0;0;572695;249320;79077;23937;32056;39424;17513;25236
1,69935E+12;-2048;0;0;25208;100201;12016;2363;14811;8309;2398;4775
1,69935E+12;-2048;0;0;984971;251945;75478;49219;32915;146099;332820;69960
1,69935E+12;-155;0;0;367963;166143;20577;26256;103331;184812;202198;86405
1,69935E+12;2047;0;0;248515;144551;64881;17971;37638;43013;13221;24282
1,69935E+12;1812;0;0;106500;240448;11034;24073;51880;32695;17129;10621
1,69935E+12;-2048;0;0;160469;96612;5414;7392;7763;179541;57502;58232
1,69935E+12;2047;0;0;316156;210068;24426;25365;27143;354004;442476;157542
1,69935E+12;-2048;0;0;47927;312999;34530;3042;60521;55788;41280;8455
1,69935E+12;2047;0;0;23721;587852;9654;13138;52339;23677;7424;17704
1,69935E+12;-2048;0;0;62927;45928;6049;8338;10279;147919;67273;32007
1,69935E+12;-2048;0;0;199026;125270;69112;104720;13717;556654;290886;100944
1,69935E+12;-2048;0;0;2246518;419291;79572;176562;90617;180834;56808;64609
1,69935E+12;-2048;0;0;29405;43181;2053;3365;14512;7559;3566;4024
1,69935E+12;-2048;0;0;331012;55098;11352;28200;12293;37719;36445;54899
1,69935E+12;2047;0;0;389998;266968;53224;16968;35671;400601;511735;93531
1,69935E+12;-2048;0;0;1009658;150947;25518;38227;47249;208021;315534;193228
1,69935E+12;2047;0;0;27718;51883;1019;9398;6091;6313;3068;3086
1,69935E+12;2047;0;0;17207;91516;4448;7307;10349;5402;2756;5238
1,69935E+12;-2048;0;0;359423;294194;16826;73526;50324;290175;361817;77880
1,69935E+12;-375;0;0;657621;40004;8204;8089;23674;245164;33376;34200
1,69935E+12;2047;0;0;281414;234923;15266;23719;29162;28637;14849;16123
1,69935E+12;-2048;0;0;198895;244472;66342;29472;28341;16169;19579;18196
1,69935E+12;-2048;0;0;946677;127468;33145;50016;38184;260067;295929;89782
1,69935E+12;-2048;0;0;669299;57555;18497;80396;32629;159730;328309;141541
1,69935E+12;2047;0;0;1161229;360140;30126;194076;105500;129091;120095;113432
1,69935E+12;2047;0;0;143334;399360;36687;7358;65956;32390;24634;14133
1,69935E+12;2047;0;0;917694;65692;15920;52357;53001;399702;287487;83155
1,69935E+12;-845;0;0;474644;69447;28958;28341;50167;401445;356260;169247
1,69935E+12;2047;0;0;1993772;252014;56799;242686;117118;271410;95247;59480
1,69935E+12;-2048;0;0;32264;91872;7073;7520;20213;6872;5981;7665
1,69935E+12;-2048;0;0;932389;110090;6630;60816;41631;356295;216803;84118
1,69935E+12;-2048;0;0;41182;16256;8449;12745;17679;110158;62658;22144
1,69935E+12;-2048;0;0;232944;47857;49397;25782;40372;45500;35580;12899
1,69935E+12;-1827;0;0;16544;26229;1635;4545;17061;5800;5035;2778
1,69935E+12;219;0;0;1221548;158532;27107;57023;52848;304589;294540;97028
1,69935E+12;2047;0;0;278401;405307;110843;119507;27452;193379;491408;30372
1,69935E+12;2047;0;0;1200149;907042;4765;165371;74256;124113;99610;88564
1,69935E+12;2047;0;0;181978;370383;29576;18580;21865;40977;24410;18349
1,69935E+12;-2048;0;0;234287;184661;25077;20953;43883;373164;595842;124281
1,69935E+12;-2048;0;0;92866;13757;5296;14908;21327;81588;97926;19308
1,69935E+12;-2048;0;0;19217;59049;5259;4687;17829;8286;2868;3735
1,69935E+12;-2048;0;0;17845;24540;1703;3845;18562;5326;4885;3242
